,location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
4830,DCNearRoad,Washington-Arlington-Alexandria,US,pm25,5.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.89475,-76.95343,1.0
4831,RIVER_Terrace,Washington-Arlington-Alexandria,US,co,1.59,2017-01-10 14:00:00+00:00,ppm,AirNow,38.895683,-76.95809,1.0
4832,RIVER_Terrace,Washington-Arlington-Alexandria,US,no2,0.006,2020-05-20 04:00:00+00:00,ppm,AirNow,38.895683,-76.95809,1.0
4833,RIVER_Terrace,Washington-Arlington-Alexandria,US,o3,0.035,2020-05-20 04:00:00+00:00,ppm,AirNow,38.895683,-76.95809,1.0
4834,RIVER_Terrace,Washington-Arlington-Alexandria,US,pm25,3.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.895683,-76.95809,1.0
4835,RIVER_Terrace,Washington-Arlington-Alexandria,US,so2,0.0,2020-01-08 16:00:00+00:00,ppm,AirNow,38.895683,-76.95809,1.0
4836,Ranchos,DOUGLAS,US,pm25,1.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.89761,-119.7321,1.0
4837,Orchard Farm,St. Louis,US,o3,0.021,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8994,-90.44917,1.0
4838,Alton,MADISON,US,o3,0.026,2020-05-20 04:00:00+00:00,ppm,AirNow,38.901318,-90.14621,1.0
4839,Davidsonville,Baltimore-Towson,US,o3,0.035,2016-03-25 12:00:00+00:00,ppm,AirNow,38.9025,-76.6531,1.0
4840,VERIZON,WASHINGTON,US,co,0.59,2017-01-05 15:00:00+00:00,ppm,AirNow,38.903824,-77.04613,1.0
4841,EBAM6 - Konocti Elem,PROXY SITE - CA - CONSTANT,US,pm25,-4.0,2019-01-06 21:00:00+00:00,µg/m³,AirNow,38.91661,-122.6084,1.0
4842,EASTBND,Cincinnati-Middletown,US,o3,0.024,2020-05-20 04:00:00+00:00,ppm,AirNow,38.9181,-84.8528,1.0
4843,Brownstown,Seymour,US,o3,0.032,2020-01-02 19:00:00+00:00,ppm,AirNow,38.920834,-86.08052,1.0
4844,McMillan Reservoir,Washington-Arlington-Alexandria,US,bc,60.95,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.92185,-77.013176,1.0
4845,McMillan NCORE,WASHINGTON,US,no2,0.002,2020-05-20 04:00:00+00:00,ppm,AirNow,38.92185,-77.013176,1.0
4846,McMillan NCORE,WASHINGTON,US,o3,0.04,2020-05-20 04:00:00+00:00,ppm,AirNow,38.92185,-77.013176,1.0
4847,McMillan NCORE,WASHINGTON,US,pm10,17.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.92185,-77.013176,1.0
4848,McMillan Reservoir,Washington-Arlington-Alexandria,US,pm25,2.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.92185,-77.013176,1.0
4849,McMillan NCORE,WASHINGTON,US,so2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,38.92185,-77.013176,1.0
4850,Auburn,Sacramento--Arden-Arcade--Roseville,US,o3,0.028,2020-05-20 04:00:00+00:00,ppm,AirNow,38.9378,-121.1039,1.0
4851,Auburn,Sacramento--Arden-Arcade--Roseville,US,pm25,3.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.9378,-121.1039,1.0
4852,South Lake Tahoe - S,Sacramento--Arden-Arcade--Roseville,US,pm10,3.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.94498,-119.97061,1.0
4853,Cheshire,GALLIA,US,so2,0.0,2020-05-20 03:00:00+00:00,ppm,AirNow,38.949978,-82.1101,1.0
4854,Gothic,GUNNISON,US,o3,0.045,2020-05-20 03:00:00+00:00,ppm,AirNow,38.9564,-106.9858,1.0
